,City,NickName,Province,Sex,Signature
50,,Jeanne Evangeline,上海,2,酌贪泉而觉爽，处涸辙以犹欢
51,北碚,小苹果,重庆,2,Valar Morghulis Valar Dohaeris
52,贵阳,xuzhong,贵州,1,
53,,田辰Robert,Toronto,1,女儿百天…乌鲁鲁
54,大兴,宋宋,北京,2,慢慢…
55,丹东,Vodka,辽宁,1,.............
56,,耀卿,,1,Go forward together
57,海淀,李健昆,北京,1,"As within, so without."
58,朝阳,滕,北京,1,
59,朝阳,郭扬,北京,1,
60,南岸,Susan孙,重庆,2,
61,济源,苗亚楠,河南,2,
62,,yifeng,,2,
63,海淀,Clare_Wenting,北京,2,Prepare your minds for action
64,,周正,北京,1,
65,南通,荷兰乳牛,江苏,2,
66,海淀,w_lei,北京,1,
67,Seattle,EveZzzzz,Washington,2,Hang in there. 
68,,T. Wu,Cologne,1,矢志不渝 不忘初心
69,海淀,Hanyu,北京,1,
70,,Summer,,0,每个人都有属于自己的一片森林……相逢的人会再相逢。
71,,紫川（JON）,,1,"Though the stars may change, the mind remains the same."
72,波士顿,宝子o(*?▽?*)o,Suffolk,1,头像是本人…
73,海淀,战神菌,北京,1,戯言なんだよ 
74,,马抒恒,北京,2,撒欢
75,海淀,朱俊达,北京,1,有事做，有人爱，有所期待
76,海淀,L仕杰,北京,1,寻找乐趣，保持热爱All work and no play makes Jack a dull boy
77,海淀,Scrat,北京,1,I.  P.
78,海淀,Thibault 蒂博,北京,1,
79,,Honhoo,,2,
80,南开,孙鹏spencer,天津,1,
81,厦门,西歪,福建,1,
82,,Quentin,Toulouse,1,
83,永川,蒋林玻,重庆,1,
84,,RRR！,,2,  Call me meimei，jerks
85,朝阳,JX_许平,北京,2,JX
86,New York,Cathy JU,New York,2,"to the moon and back<span class=""emoji emoji1f3b6""></span>"
87,松原,张秋锋,吉林,1,唯德学 唯才艺 不如人 当自励。
88,海淀,石佳,北京,1,
89,海淀,郭uo.xp,北京,1,不误正业的裁判
90,成都,haiyousei,四川,2,~_~
91,Dallas,王泽景,Dallas,1,
92,海淀,?fenrier?,北京,1,一直以为，万事因心动而动，原来心动也是妄动……
93,,SyCaMore,北京,1,學習使我快樂
94,淄博,吳銘釋,山东,1,
95,,Wd Liu,,1,
96,贵阳,K.Fox,贵州,1,能轻易得到的，更要用心珍惜。
97,,Cecilia,,2,
98,西城,Dr.Shine,北京,1,工于至诚，行以致远
99,,岳山,,1,之前的“去shi吧渣渣”的号不用了，都用这个号
100,,军协王硕,北京,1,
101,,墨小央,北京,1,"正趣果上果 归依天中天
一道长死生 有无离二边"
102,Boston City,明昱充,Massachusetts,1,A hundred percent reason to remember the name
103,石家庄,Hatim,河北,1,判断力&amp;执行力
104,,Mr.Z,北京,1,
105,海淀,无痕,北京,1,不能击倒你的，都会让你变得更强大
106,Durham City,Tian,North Carolina,1,Rise up to challenges.
107,,黎夏,,2,
108,海淀,王子琦,北京,1,
109,大连,小杜,辽宁,1,
110,,Y·L·C,Hague,1,
111,,查无此人,,0,请尽量选择其他方式联系
112,,王景茜·MIA,,2,PLEASE GO FAR AWAY WITH YOUR CURIOSITY AND PREJUDICE.
113,,诺言,,1,
114,海淀,秦yy?,北京,2,The Nightingale and the Rose
115,,耳东雨路,Abu Dhabi,2,
116,海淀,书中自有烤冷面,北京,2,怕什么真理无穷 进一步有进一步的惊喜
117,,肉了个松,北京,2,
118,,Zong LM,,2,"new year,new striving  ......"
119,渝北,Vita^ ^,重庆,2,confidence！Dream！aspiration！
120,贵阳,Jenny Liu,贵州,2,"知足<span class=""emoji emoji2764""></span>?感恩<span class=""emoji emoji1f64f""></span> "
121,鹤岗,辛安,黑龙江,2,Less is More.
122,杨浦,冠格拉斯板凳宽,上海,2,Fair enough.
123,海淀,让幸福来敲门,北京,1,先定一个小目标，每天多学一点点，进步一点点。
124,海淀,曌,北京,1,
125,Southampton,Mary Wang,England,2,Pain is inevitable. Suffering is optional. 
126,,安琦,北京,2,睡觉大王zzz
127,海淀,Artemii Alessandrini,北京,1,? °?  ? °
128,,暴走的包子,,0,
129,Seattle City,秦雯,Washington,2,
130,成都,黄,四川,1,知足常乐
131,,欢儿,,2,To be a gorgeous，adorable，independent woman！
132,乌鲁木齐,孙世攀,新疆,1,I know who i am and where i wanna go
133,New York City,吕由佳,New York,2,幸福。。嘿嘿~~
134,杭州,吉吉,浙江,2,我还就不信了。
135,海淀,应,北京,1,累就对了，舒服是留给死人的。
136,,WAFLOS,,2,???!!(っ`?ω??)っ???!!
137,昌平,追风者,北京,1,
138,San Antonio City,金石开,Texas,1,
139,海淀,小青年,北京,1,未填写
140,Brisbane,Mody,Queensland,1, 
141,,曙光,Paris,1,工作
142,,阿伟,,1,tel:15910257250
143,海淀,阳Yang阳,北京,2,"Happiness is a journey, not a destination."
144,Stamford,贞冷,Connecticut,2,慢慢活吧，说不定有天能活到那个自己喜欢的高度
145,Adelaide,Kevin,South Australia,1,天不生我李淳罡，剑道万古如长夜。
146,弗莱彻属波利尼西亚,夏の星,其他,2,
147,Baotou,你曾是少年,Porto,2,return null；
148,,Koala,陕西,2,
149,海淀,盛夏清晖 ?,北京,1,*      the one . the wish
150,海淀,Prince.Road,北京,1,凡是过去，皆为序幕
151,海淀,庞文博,北京,1,嘿 朋友 我们好久不见你在哪里
152,无锡,弎月の小夢,江苏,2,愿使：岁月静好，现实安稳。
153,厦门,逸翔,福建,1,吃太饱会困
154,海淀,7G,北京,1,
155,海淀,我?的?名?字?就?是?很?长?,北京,2,
156,昌平,Julia,北京,2,"……仿佛回到了本科写毕设论文凑呀凑呀凑字数的时代 <span class=""emoji emoji1f639""></span> <span class=""emoji emoji1f639""></span> <span class=""emoji emoji1f639""></span>"
157,,Yolanda,,2,YOLO
158,,Lingli,,2,人间有味是清欢
159,海淀,东东,北京,1,可以失败，但是不可以不努力
160,海淀,白哩个白,北京,2,不如现在活得肆意潇洒
161,,zqy,,0,
162,西安,段文娣,陕西,2,"<span class=""emoji emoji1f349""></span>?<span class=""emoji emoji1f353""></span><span class=""emoji emoji1f34a""></span>?<span class=""emoji emoji1f35e""></span>?<span class=""emoji emoji1f373""></span>??<span class=""emoji emoji1f354""></span>?<span class=""emoji emoji1f35c""></span><span class=""emoji emoji1f367""></span>"
163,海淀,宿慧婷,北京,2,
164,海淀,刘寒颖是我,北京,1,are u ok!
165,海淀,?tian,北京,2,
166,,sukie,,2,
167,,陈小吱,,2,认清生活的真相而依然热爱生活
168,,咩,,2,
169,,罗过过????,,2,有趣的灵魂万里挑一
170,,杨幂,,2,努力而温暖。
171,,Sunor,,1,做好自己，做好自己，做好自己
172,朝阳,从一到无穷大?,北京,1,
173,,velle,,1,Dojyaaaaan~
174,宜昌,严凡,湖北,2,
175,葫芦岛,霍亮宇,辽宁,1,diu~diu~diu
176,Seattle,兔美酱Ying,King,2,
177,,钱俊,,1,
178,,???,,2,春秋大梦
179,,David Hou,,1,
180,,?Cherry,,0,
181,,FU Hanxiao,,1,时间是生活的解药
182,朝阳,何心,北京,1,Horace
183,东城,A Little Moly,北京,2,只是想住在桃花源里
184,,侯宇博 Yubo Hou,,1,当前不杂，过往不恋，未来不迎
185,广州,舒婷,广东,2,每一天都不同
186,,Skyer,北京,2,勿忘初心 广结善缘 溫柔相待
187,,璇儿,,2,但行好事，莫问前程。
188,,wyl,,2,
189,西安,赵晗,陕西,2,
190,通化,晨雨,吉林,1,
191,,Blair Jinghan LU,,2,
192,,徐伟嘉,北京,1,
193,,lele,,2,We can't change
194,,晓宇,,1,
195,杭州,floy,浙江,2,你来人间一趟，你要看看太阳，和你的心上人，一起走在街上。
196,,CHEN,Canberra,2,"<span class=""emoji emoji2764""></span>?Stop there and say goodbye"
197,无锡,满月酱,江苏,2,偷走我心的人是你呀你
198,,Wenjie,,2,
199,,Tim,,1,It's a start of something new.
200,,某钱最近比较宅宅宅宅宅?,,2,"Time is hard, you make it soft"
201,海淀,马璇,北京,2,鲜衣怒马少年时 一日看尽长安花
202,海淀,李申,北京,1,漫漫假期
203,,Sharon,北京,2,
204,,喃呢?,,2,很温柔~
205,昆明,圣光勇士贞日天,云南,1,小拳头大身材
206,黔东南,王姝婧,贵州,2,
207,,Claire,,2,
208,海淀,可乐狒狒,北京,1,都知相聚最难得 难耐别离多
209,Detroit,刘姚慧卓,Michigan,2,
210,,岳润雨,北京,1,slide
211,贵阳,罗梦TingCavely,贵州,2,
212,朝阳,王亦周,北京,2,别来无恙 不在心上
213,,shjie,,1,
214,,杨桂英,,0,
215,贵阳,う指尖?,贵州,2,
216,海淀,木又,北京,2,Beyond
217,,黄大仙,,1,"I like you calm,as if you were absent"
218,广州,苏玖,广东,2,我给你朗诵诗歌，你能给我酒喝吗？
219,,党哩个党,,2,一个脱离高级趣味的人
220,,彤哥,,2,我的桃，我的爱
221,,张艺,Buenos Aires,2,"






 
 
 
 
 
 

















 
 
 
 
  
 

 
"
222,,vanilla,北京,2,Fearless
223,海淀,亚胡哈,北京,1,忙里想偷闲！
224,贵阳,郑思淳@_@!,贵州,2,阶梯式人生
225,兴安,zang,内蒙古,1,孤独的人，要吃饱饭。
226,西安,呵呵,陕西,2,此间少年
227,海淀,F  . T .,北京,1,Life will take me there.
228,,Jerrylove,北京,1,当自己回首往事时 不会因虚度年华而悔恨 也不会因碌碌无为而羞耻
229,海淀,炸火车,北京,1,Res severa est verum gaudium.
230,,赵?,,2,NOT TYPICAL
231,,Mr,,1,你低估了他的决心
232,兴安,Ethan Han,内蒙古,1,
233,广州,?,广东,1,
234,,VC,,2,Be ever so happy &amp; Be yourself 
235,海淀,梁兆恒,北京,1,"<span class=""emoji emoji1f411""></span><span class=""emoji emoji1f411""></span><span class=""emoji emoji1f411""></span>"
236,,Max-Min,北京,1,
237,长沙,陈东子 Doris,湖南,2,那些拒绝从历史中学习的人注定要重复它的悲剧
238,,G的准则,,1,苟。。。
239,西城,王茜,北京,2,
240,海淀,Eshine,北京,2,今天就是有一天。
241,海淀,boboboyi,北京,2,"??? ? ? ??? ?? !<span class=""emoji emoji1f4aa""></span><span class=""emoji emoji1f4aa""></span> ^^"
242,,Cabbage,,2,Let time speak for me.
243,,Ines ?,北京,2,Stop creeping my profile.
244,,李珞荧,,2,
245,房山,于红霞,北京,2,我用流年，乱了浮生
246,,Vincent Leggie,,1,
247,成都,Starry.,四川,1,Easy to get along，hard to cure my autism.
248,,Charles?ZHANG,Luzern,1,百善孝为先。
249,浦东新区,琉璃豆豆,上海,2,把每一个落雨的日子，都过成晴天。
250,沧州,马昕,河北,2,捕捉闪耀的瞬间
251,,-Xiaoming-,,2,
252,海淀,欧阳旭,北京,1,亦余心之所善兮，虽九死其犹未悔
253,,江郁慈,Taipei,2,
254,江门,舟洲,广东,1,"One thing we know for sure, the future is not set."
255,青岛,展祯,山东,2,:)等你
256,,Yu,北京,2,Keep faith
257,海淀,刘思嘉,北京,2,春水初生春林初盛春风十里 不如你
258,贵阳,洪泽宇,贵州,1,机会总是留给有准备的人！
259,海淀,王悦萌,北京,2,そらいくぞ！下克上！此処に集え我等镜音一家！！
260,,蓝色是鱿鱼吖,,2,笃定成全自由
261,Piscataway Township,shield??????,New Jersey,1,control time than control everything
262,东营,从此节操是路人,山东,1,一心向善
263,海淀,刘雪飞,北京,2,
264,西安,李丹,陕西,2,"<span class=""emoji emoji1f349""></span>"
265,铜仁,nvs龙,贵州,2,
266,海淀,陈昊,北京,1,你碰到了我们当中最厉害的一个
267,,傅博,,2,早安，晚安:)
268,洛阳,王佳仪,河南,2,
269,西安,旭旭,陕西,1,
270,,仇雨豪,Basel-stadt,1,功不唐捐
271,西安,徐凯,陕西,1,狭路相逢勇者胜
272,武汉,翁雪,湖北,2,
273,,一张老脸,北京,1,
274,,H.,,1,尴尬患者
275,广州,Zhang,广东,2,
276,,YU,,1,
277,海淀,屈亦成,北京,1,I will do what must be done 
278,乌鲁木齐,聂梦瑶,新疆,0,
279,长春,谢一平,吉林,1,一本正经 胡说八道
280,西城,赵唯实??,北京,1,Risk Everything
281,海淀,王子钰,北京,1,你有多自律 就有多自由
282,沈阳,Alan,辽宁,1,
283,,剑飞来自火星,,1,知足知不足，有为有不为。
284,,MR.Surprise,Abu Dhabi,1,好好学习，多吃蔬菜
285,海淀,黄子桥,北京,2,Papa was a rodeo
286,海淀,蒙小小小,北京,2,非如此不可
287,东城,西西,北京,2,每个人的人生都值得被温柔以待
288,,Carles 咖喱丝,Barcelona,1,Time waits for no one.
289,Pittsburgh City,周高祥,Pennsylvania,1,白月光，心里某个地方
290,杭州,极乐青豆,浙江,1,“它在烧！”
291,沧州,Red,河北,1,然后一定要善良
292,大兴,三白,北京,1,
293,朝阳,lulu,北京,2,小豆咕噜噜～
294,朝阳,noel.\,北京,1,剩者为王   
295,杨浦,孔小名,上海,2,没几条朋友圈
296,浦东新区,Kate,上海,2,加油2017～
297,New York City,#JZ,New York,1,只好把岁月化成歌，留在山河。
298,哈尔滨,hunter,黑龙江,1,"见事贵乎理明，处事贵乎心公。
——弘一法师"
299,呼和浩特,张χρ,内蒙古,1,
300,,Tang,,1,
301,东营,孙逸,山东,1,一馨一逸，做生活家。
302,,Xin.H,,2,向着美好，步履不停。
303,,让我想一个好名字,Auckland,2,有得有失有坚持，能哭能笑能尽欢
304,福州,锤霸霸,福建,2,
305,,Small White.  ,,2,人生没有白走的路，每一步都算数
306,阜阳,越,安徽,1,皇图霸业谈笑中，不胜人生一场醉
307,贵阳,叶子?姑娘,贵州,0,"
?我看过沙漠下暴雨 ?"
308,,康雅,,2,原来这就是土耳其蓝
309,西安,just丹,陕西,2,生活可以是流浪的，孤独的；但愿你的心，有你想要的归宿
310,,王先生,北京,1,一个混蛋。
311,,王洪亮(Stephen),北京,1,24小时待机
312,,格瑞特,,2,行善惜福
313,,PIGLET18644,,2,day day up ！
314,Durham City,史一川,North Carolina,1,Success is a mixture of preparation and luck
315,San José,嘎嘎想养只大狗,SantaClara,2,愿生有去处苍有归途 保持飞扬
316,,?,,2,"For freedom<span class=""emoji emoji1f3c3""></span>?"
317,,方源,,2,太阳在我心
318,海淀,陶磊,北京,1,
319,海淀,胡冰洁,北京,2,
320,,Jenny,北京,2,fighting！
321,贵阳,刘昊阳Arb,贵州,1,@.@
322,海淀,Xiaohang丶S,北京,1,
323,,程雪娇 Rebecca,,2,"甘之如饴<span class=""emoji emoji1f430""></span>"
324,深圳,lulu-Euphie,广东,2,(_ _).?o○blue~blue~
325,,王思荔,北京,2,
326,海淀,李海月,北京,2,"一只暖和的小熊<span class=""emoji emoji1f43b""></span>"
327,,Dickson Lai 黎特圣,,1,
328,海淀,辛宇,北京,1,
329,,梁碧莹,,2,人生如T台，猫步走起来
330,西城,BaKun,北京,1,KEEP CALM AND CARRY ON
331,合肥,小鱼塘,安徽,2,
332,,FFT,北京,1,岭深常得蛟龙在，梧高自有凤凰栖。
333,,宋鹏昊,北京,1,
334,海淀,高帅,北京,1,
335,贵阳,cai_ting,贵州,2,好运???
336,,壹零,北京,2,
337,哈尔滨,a不方便透露姓名,黑龙江,1,
338,,Geeph,,1,我亦只有一个一生，怎可慷慨赠予不值得的人
339,,Kevin Zhu Xiangfeng,,1,谁拿流年乱浮生，又借浮生乱红尘
340,,Joy／,,2,Never give up。
341,,完美枪神杯-汤景翔,,1,Jingxiang Tang
342,,crazy.疯,,1,Valar Morghulis
343,温州,煮余,浙江,1,
344,,钱楚楚,北京,0,莫八觉
345,西城,马春阳,北京,2,
346,呼伦贝尔,^_^,内蒙古,2,
347,赤峰,Bios?,内蒙古,1,我会变成我想要的样子的。
348,,王钰滢,,2,一沙一世界，一叶一如来
349,西安,Purestare3,陕西,2,勇气
350,海淀,夜深深深,北京,2,Deferto Neminem 毕竟不舍
351,哈尔滨,Adm1n,黑龙江,1,
352,,CSDN学院-小助1号,,0,
353,海淀,赵心悦,北京,2,
354,朝阳,Becky,北京,2,
355,,瑞鹤仙,重庆,1,
356,奉贤,姚家骏,上海,1,我的拿铁不加糖
357,,尹强强,北京,1,不负大好时光！
358,,1fan,Sha Tin,1,"my fork, my spoon"
359,海淀,大姚,北京,1,
360,,Xinxin?,,2,
361,,文婧君要做阳光大天使?,,2,
362,海淀,好名字,北京,1,
363,,翕雯(Candice),Venice,2,人诗意的存在着，人是存在的放牧者。
364,,刘伊凡,北京,2,我梦寐以求，是真爱和自由
365,海淀,怂宝宝乖,北京,2,bad code
366,Manchester,爱琳苏克,England,2,勿忘初心
367,海淀,宝贝雪,北京,2,
368,,陈睿东,北京,1,
369,,Wen,北京,1,
370,,张呵呵?Shay,,2,"I am confused by me too. <span class=""emoji emoji1f47d""></span>"
371,,vivien蒙,,1,
372,,?薇?,,2,我只喜欢吃喝玩乐
373,西安,Hegxiten,陕西,1,灵机一动一动动
374,,?健骐,,1,我在学习呢
375,,西米露,,2,"(??????)??
永远16岁的月半少女"
376,,tangjingxue,,2,"Study hard, play hard!"
377,海淀,(o??_?)っ清扬北鼻,北京,2,人生苦短 还好我甜
378,海淀,WY?,北京,2,万事可期待
379,大兴,Amanda,北京,2,很高兴认识你
380,Brisbane,庄昌意,Queensland,1,距离起飞还有：75
381,,bobo?,,1,不怕老去，就怕老的不精彩
382,长沙,阿毛。,湖南,2,岁月里惊鸿一瞥。
383,朝阳,Wang Shuo,北京,1,
384,西城,?,北京,1,
385,海淀,Sharon Yi,北京,2,"<span class=""emoji emoji1f476""></span> <span class=""emoji emoji1f467""></span> <span class=""emoji emoji1f487""></span> <span class=""emoji emoji1f469""></span>"
386,New York City,读书人的倔强,New York,1,留下浮光掠影飞舞
387,海淀,王正锴,北京,1,
388,荆门,?Neptune,湖北,2,Everyone is running on their TRACE in their own TIME 
389,厦门,于昢(pèi)同学,福建,2,Ms.shop供应商?所以你好再见
390,海淀,流浪爱上猫,北京,1,两耳不闻窗外事，一心只在旅途中。
391,浦东新区,緩緩歸,上海,2,"second time, second chance, one year"
392,,洋仔cyrus,,1,Anything to drink?
393,浦东新区,stoien,上海,1,不卑不吭，不骄不躁；宁静以致远。生活需沉淀，坚持所坚持。
394,,CHN??求不加班??,,1,ò
395,,Tanwx,,2,"<span class=""emoji emoji1f43b""></span>?<span class=""emoji emoji1f428""></span>"
396,,许策,北京,1,"<span class=""emoji emoji2764""></span>?<span class=""emoji emoji1f49b""></span><span class=""emoji emoji1f499""></span>"
397,朝阳,凉皮夫人,北京,2,认真的人总会有收获
398,,毕大宝,Buenos Aires,2,圆平脸金色圆眼尖耳端长尾长被毛好到没脾气
399,遵义,李芩硕,贵州,1,远离舒适区
400,,一马先生?,,2,
401,,haibara,,2,?? ? ???
402,海淀,Joy.D,北京,2,涅磐重生
403,朝阳,以恒,北京,1,天凉好个秋
404,,陈然YL,Porto,1,很幸运啊
405,,泳奇York,北京,1,
406,,夏胖岁,,2,我好帅
407,,傅斯年,,1,不忘初心，不改初衷！
408,,陈晓雯,北京,2,所有的人都醉了 请为我点盏灯火
409,,小二 | 本地活动,,0,新加坡本地活动玩乐专家
410,海淀,贺哲,北京,1,pythonic！
411,,Maxwell,Stockholms,1,Just do IT！
412,宁波,女战神。,浙江,2,腹有诗书气自华。
413,海淀,沈琳,北京,2,每个人，都将在最艰难的日子里，将人生变得美好而辽阔
414,海淀,.,北京,1,Hello world
415,,麦麦,,2,
416,,绵羊,,2,tough coward
417,大庆,MeW,黑龙江,1,All those moments will be lost in time like tears in rain.
418,昌平,我很乖,北京,2,我们仍未知道
419,海淀,璐.Y,北京,2,
420,,Marin,北京,2,
421,,???,,2,人说男儿当自强
422,海淀,SJM,北京,1,stay busy stay funny 
423,武汉,杨艳平 Vila,湖北,2,
424,,Yiki,,2,Too much candy gonna rot your soul
425,,星空?,Incheon,2,
426,烟台,在贤君,山东,1,食五毒不死，吞百草而生。叹柔情何物，杀英雄无数。
427,海淀,邓kai,北京,1,只有初恋般的热情和宗教般的意志，人才有可能成就某种事业。
428,,顾好脚,,2,我有一双好脚
429,海淀,Crystal,北京,2,红了樱桃，绿了芭蕉
430,Boston City,壹,Massachusetts,2,
431,朝阳,风与蓝天,北京,1,"By fire, Eternal "
432,朝阳,马瑞思 Marius,北京,1,My only special talent is passionate curiosity
433,,张宇Jonny,,1,
434,,CHEN璇?,,2,"I am what I am<span class=""emoji emoji1f48b""></span>"
435,苏州,温文,江苏,1,生活中有小惊喜
436,,邓博容,Barcelona,2,我们像只香芋
437,,阿团子,,2,壮汉少女心
438,,金色大街,,2,说不定我一生涓滴意念 侥幸汇成河
439,青岛,CaeliaY,山东,2,心素如简
440,Edinburgh,管你,Scotland,2,一个有趣的灵魂
441,松江,?( ? )? Juno,上海,2,"如
人
饮
水
冷
暖
自
知"
442,青岛,Xclums??,山东,1,
443,西城,西直门吹雪,北京,2,虽九死其犹未悔
444,威海,鲍鱼村长,山东,1,平常心看待一切
445,,Jay,,1,"自强不息，厚德载物！<span class=""emoji emoji1f393""></span><span class=""emoji emoji1f40e""></span><span class=""emoji emoji1f4b5""></span>"
446,海淀,窦宇迪,北京,2,
447,,嗖呛,Hokkaido,2,
448,,ShAoPeNg,,1,
449,南通,喵了个咪,江苏,2,啊你在看我朋友圈( ? ? ? )
450,海淀,XL,北京,2,你瞅啥
451,厦门,Alpaca,福建,1,没脑子，也不愿思考
452,大连,舟,辽宁,1,
453,Nashville-Davidson,陈广 Thomas,Davidson,1,Social Gamer Pianist Engineer
454,广州,cyy,广东,2,对他们再温柔一点
455,滨州,雪茹,山东,2,凡入此门者，请万勿心存侥幸 ?'ω'??
456,武汉,TuDou.ToDo,湖北,1,到不了的地方都叫远方
457,济南,攻城?,山东,1,wolf-boy
458,,戴文婷,,2,
459,,大树大树大树大树,,2,就这样吧
460,,咸鱼翻身了它还是咸鱼吖。,,1,年少不聽李宗盛、聽懂已是不惑時。
461,,L.C,Milano,1,
462,,Ms SuperDoll_Aceline,Paris,2,Alive
463,武汉,hedgehog_c,湖北,2,年轻，努力，承诺，撑住
464,赤峰,Sarah 李明喆,内蒙古,2,自负盈亏。
465,,xiaobo,,1,
466,苏州,Rainy.Liu??,江苏,2,Just Do It.
467,,小怪兽,Hokkaido,2,Drink vodka and fly. 
468,,吴宇征,,0,Better to run than curse the road.
469,荆门,田歌,湖北,1,啊哈哈
470,海淀,Raven,北京,1,
471,衢州,林小茜,浙江,2,我好像在哪里见过你
472,海淀,吴建雄,北京,1,有用之用，有所不用；无用之用，无所不用。
473,南京,奶味呀,江苏,2,Il y a un concert ce soir.  
474,深圳,vivien,广东,2,"做人最重要的是开心<span class=""emoji emoji1f604""></span>"
475,,Marlar,,2,All I can do!!!
476,,Liuyang,,1,
477,海淀,刘娜,北京,2,something is going on。。。
478,朝阳,学习使我快乐?,北京,2,
479,New York City,袁高翔,New York,1,
480,海淀,兔 ?,北京,2,love life
481,贵阳,流氓大白兔,贵州,1,随自然
482,,瘦肉粥?,北京,2,?
483,武汉,蜗蜗,湖北,2,
484,,Meow～,,2,┑(￣Д ￣)┍ 
485,Toronto,?凌? 风?,Ontario,1,"太阳从西边升起，落向东方，风是否依旧停在身旁<span class=""emoji emoji2728""></span>?"
486,南开,充满正能量的小灰?,天津,2,你是心中的日月，落在这里，旅程的前后多余只为遇到你。
487,闵行,Jason   Meng,上海,1,愿翻越千山，归来仍是少年。
488,广州,大唱唱,广东,2,I'm glad you came.
489,,Bob吴波,,1,想再次成为这个世界的一名认真的玩家，所以，来点有趣的吧
490,南开,杨炅澄,天津,1,
491,,CHRIS,AD,2,
492,海淀,彭迪,北京,2,"Be yourself, love yourself. Fighting~"
493,,zvv?,,2,Earphones Destroyer Breaker Buster!
494,南开,geek.,天津,1,
495,咸阳,???,陕西,2,活得像只咸鱼
496,衢州,jjj,浙江,2,我是没有个性签名的
497,,Carina凡凡??,,2,爆发小宇宙
498,烟台,Allan,山东,1,
499,,周思奇,,2,"<span class=""emoji emoji1f4a4""></span>"
500,贵阳,checkedd晴,贵州,2,幸福，就是让爱的人觉得幸福
501,,wyx.?,,2,"就醒着 读着 写着长信
在林荫道上来回
不安的游荡 当着落叶纷飞"
502,朝阳,周雨竹,北京,2,水逆中，请绕行 ??
503,淄博,夼,山东,1,"If you need me, I will be there."
504,南通,钱坤,江苏,1,new up better.
505,海淀,囧.,北京,1,边做边说
506,,May Du,,2,趁时间没发觉让我载着你离开
507,,贝妮,,2,
508,,Reese,,2,:)
509,杨浦,Samantha_王思源,上海,2,我祈祷拥有一颗透明的心灵 和会流泪的眼睛
510,海淀,Circle,北京,1,人生不相见 动如参与商
511,海淀,夏逗逗,北京,2,"Strawberry letter 23<span class=""emoji emoji1f353""></span><span class=""emoji emoji1f48c""></span>"
512,,心静自然凉,,0,
513,,清月,,0,及时当勉励
514,南京,吴赛尔Erin,江苏,2,沉迷世界，自成一派
515,Brighton &amp; Hove,Kate,England,2,
516,,Kevin,,1,无法止步的前行，期待所有的未知
517,石家庄,子秋,河北,2,虽然小熊去剪指甲变成了小能，然而我一天看了44次日落
518,西安,宁靖Serena???,陕西,2,责难无以成事
519,海淀,辉?,北京,1,…………解脱啦！
520,Waltham,粥粥桑?盘丝大仙,Middlesex,2,好看的皮囊千篇一律，有趣的灵魂万里挑一。
521,海淀,Summer,北京,2,"<span class=""emoji emoji1f308""></span><span class=""emoji emoji1f308""></span><span class=""emoji emoji1f308""></span><span class=""emoji emoji1f308""></span><span class=""emoji emoji1f308""></span><span class=""emoji emoji1f308""></span><span class=""emoji emoji1f308""></span>"
522,杨浦,猪猪女孩,上海,2,
523,大兴,尚文酱,北京,2,是蛋黄口味的嘛(* ?? ?* )?*？
